id_pedido,dt_pedido,fl_ketchup,desc_uf,txt_recado
293,2023-05-21T17:24:48.000+0000,FALSE,RJ,Vocês são fodas! A linuxtips é foda!
294,2023-05-21T19:23:16.000+0000,TRUE,RS,null
295,2023-05-21T21:05:48.000+0000,TRUE,RJ,Continuem com o trabalho FODASTICOO
296,2023-05-21T23:28:38.000+0000,TRUE,SP,null
297,2023-05-22T01:07:02.000+0000,FALSE,MT,"É a primeira pizza com brócolis que peço, estou curiosa (sou péssima em combinações culinárias)."
298,2023-05-22T07:13:31.000+0000,FALSE,RJ,Agradeço a vocês pelo o que estão oferecendo.
299,2023-05-22T09:21:38.000+0000,TRUE,RJ,null
300,2023-05-22T10:23:11.000+0000,TRUE,MG,null
301,2023-05-22T12:52:52.000+0000,TRUE,RJ,"Fatiado em 8 pedaços, por favor (: hahah"
302,2023-05-22T14:57:04.000+0000,FALSE,DF,Me ajuda na transição de carreira
303,2023-05-22T15:13:06.000+0000,TRUE,SP,Bora comer essa pizza?!
304,2023-05-22T16:05:10.000+0000,FALSE,GO,Ansioso!!
305,2023-05-22T16:13:43.000+0000,TRUE,SC,null
306,2023-05-22T17:55:43.000+0000,TRUE,PA,#VAAAAIII
307,2023-05-22T19:17:26.000+0000,FALSE,SP,Sucesso
308,2023-05-22T19:33:25.000+0000,TRUE,SP,Estou ansiosa para comer essa pizza rsrsr
309,2023-05-22T19:52:19.000+0000,TRUE,RJ,null
310,2023-05-22T22:29:08.000+0000,TRUE,MG,null
311,2023-05-22T23:39:44.000+0000,FALSE,SP,null
312,2023-05-23T00:25:53.000+0000,FALSE,SP,S2
313,2023-05-23T08:21:46.000+0000,FALSE,RJ,null
314,2023-05-23T08:21:59.000+0000,FALSE,PR,Brabos
315,2023-05-23T08:22:31.000+0000,TRUE,AM,"Para viagem, por favor!"
316,2023-05-23T08:22:57.000+0000,TRUE,MG,null
317,2023-05-23T08:23:51.000+0000,TRUE,ES,null
318,2023-05-23T08:24:06.000+0000,TRUE,RS,null
319,2023-05-23T08:24:06.000+0000,FALSE,PB,"Caprichem no curso, digo, na pizza!"
320,2023-05-23T08:24:58.000+0000,TRUE,SE,null
321,2023-05-23T08:26:43.000+0000,TRUE,ES,null
322,2023-05-23T08:30:53.000+0000,FALSE,SP,null
323,2023-05-23T08:31:31.000+0000,FALSE,MG,Um abraço do Lucas Carlos
324,2023-05-23T08:32:05.000+0000,TRUE,MA,Sua Pizzazinha é uma delícinha
325,2023-05-23T08:32:43.000+0000,TRUE,RJ,"Obrigado pela iniciativa, o Téo Calvo é nota 1000"
326,2023-05-23T08:35:48.000+0000,TRUE,MG,null
327,2023-05-23T08:36:30.000+0000,TRUE,GO,"Fiquei triste por não ter borda doce :/ Parabéns pelo projeto, vocês são demais!"
328,2023-05-23T08:38:12.000+0000,TRUE,SP,null
329,2023-05-23T08:38:29.000+0000,TRUE,RJ,null
330,2023-05-23T08:38:30.000+0000,TRUE,SP,Capricha no bacon aí
331,2023-05-23T08:45:26.000+0000,TRUE,AL,"Pizza tem recheio ou cobertura? Sucesso! vocês são brabos."""
332,2023-05-23T08:45:57.000+0000,TRUE,SC,Ansiosa .
333,2023-05-23T08:46:15.000+0000,FALSE,PE,null
334,2023-05-23T08:46:55.000+0000,TRUE,GO,Capricha na borda de Cream Cheese
335,2023-05-23T08:47:20.000+0000,TRUE,MG,null
336,2023-05-23T08:47:23.000+0000,TRUE,RS,Mamma Mia!
337,2023-05-23T08:47:54.000+0000,FALSE,SP,null
338,2023-05-23T08:49:19.000+0000,TRUE,GO,Parabens pela iniciativa pizzaiolos bonitos!!!!!
339,2023-05-23T08:49:46.000+0000,TRUE,SP,null
340,2023-05-23T08:50:15.000+0000,TRUE,PR,Queijo veg pls
341,2023-05-23T08:54:27.000+0000,FALSE,SP,Venceremos!
342,2023-05-23T08:59:15.000+0000,TRUE,MG,null
343,2023-05-23T09:03:47.000+0000,FALSE,SP,null
344,2023-05-23T09:03:52.000+0000,FALSE,RJ,null
345,2023-05-23T09:05:37.000+0000,FALSE,BA,Massa fina por favor! Risos!
346,2023-05-23T09:09:45.000+0000,FALSE,SP,Capricha na borda! No Ketchup rs
347,2023-05-23T09:13:59.000+0000,FALSE,SP,null
348,2023-05-23T09:16:11.000+0000,FALSE,SC,null
349,2023-05-23T09:16:15.000+0000,FALSE,SP,"Entrega rapida, por favor"
350,2023-05-23T09:16:16.000+0000,FALSE,SP,null
351,2023-05-23T09:19:42.000+0000,TRUE,ES,Desejo-lhes muita paz de espírito para poder ministrar as aulas com sabedoria.
352,2023-05-23T09:21:55.000+0000,TRUE,AC,null
353,2023-05-23T09:22:09.000+0000,FALSE,MT,null
354,2023-05-23T09:22:37.000+0000,FALSE,SP,null
355,2023-05-23T09:24:16.000+0000,FALSE,RJ,Enche de queijo
356,2023-05-23T09:24:25.000+0000,TRUE,MG,null
357,2023-05-23T09:30:17.000+0000,FALSE,PR,null
358,2023-05-23T09:32:33.000+0000,FALSE,MG,null
359,2023-05-23T09:35:09.000+0000,FALSE,SP,No capricho
360,2023-05-23T09:35:20.000+0000,TRUE,GO,null
361,2023-05-23T09:38:10.000+0000,TRUE,MG,null
362,2023-05-23T09:38:58.000+0000,TRUE,SP,Capricha no bacon!
